DATE,CPIAUCNS
1999-07-01,167.2333333333333333
1999-10-01,168.2666666666666667
2000-01-01,169.9333333333333333
2000-04-01,171.7333333333333333
2000-07-01,173.1000000000000000
2000-10-01,174.0333333333333333
2001-01-01,175.7000000000000000
2001-04-01,177.5333333333333333
2001-07-01,177.7666666666666667
2001-10-01,177.2666666666666667
2002-01-01,177.9000000000000000
2002-04-01,179.8333333333333333
2002-07-01,180.6000000000000000
2002-10-01,181.1666666666666667
2003-01-01,183.0000000000000000
2003-04-01,183.6666666666666667
2003-07-01,184.5666666666666667
2003-10-01,184.6000000000000000
2004-01-01,186.2666666666666667
2004-04-01,188.9333333333333333
2004-07-01,189.6000000000000000
2004-10-01,190.7333333333333333
2005-01-01,191.9333333333333333
2005-04-01,194.5000000000000000
2005-07-01,196.8666666666666667
2005-10-01,197.8666666666666667
2006-01-01,198.9333333333333333
2006-04-01,202.3000000000000000
2006-07-01,203.4333333333333333
2006-10-01,201.7000000000000000
2007-01-01,203.7556666666666667
2007-04-01,207.6623333333333333
2007-07-01,208.2353333333333333
2007-10-01,209.7163333333333333
2008-01-01,212.1003333333333333
2008-04-01,216.7566666666666667
2008-07-01,219.2776666666666667
2008-10-01,213.0753333333333333
2009-01-01,212.0150000000000000
2009-04-01,214.2630000000000000
2009-07-01,215.7180000000000000
2009-10-01,216.1520000000000000
2010-01-01,217.0196666666666667
2010-04-01,218.0506666666666667
2010-07-01,218.2540000000000000
2010-10-01,218.8976666666666667
2011-01-01,221.6663333333333333
2011-04-01,225.5306666666666667
2011-07-01,226.4520000000000000
2011-10-01,226.1076666666666667
2012-01-01,227.9066666666666667
2012-04-01,229.7926666666666667
2012-07-01,230.2966666666666667
2012-10-01,230.3796666666666667
2013-01-01,231.7396666666666667
2013-04-01,232.9933333333333333
2013-07-01,233.8740000000000000
2013-10-01,233.2213333333333333
2014-01-01,234.9966666666666667
2014-04-01,237.7716666666666667
2014-07-01,238.0443333333333333
2014-10-01,236.1320000000000000
2015-01-01,234.8493333333333333
2015-04-01,237.6806666666666667
2015-07-01,238.3050000000000000
2015-10-01,237.2330000000000000
2016-01-01,237.3863333333333333
2016-04-01,240.1693333333333333
2016-07-01,240.9683333333333333
2016-10-01,241.5046666666666667
2017-01-01,243.4143333333333333
2017-04-01,244.7373333333333333
2017-07-01,245.7080000000000000
2017-10-01,246.6186666666666667
2018-01-01,248.8040000000000000
2018-04-01,251.3743333333333333
2018-07-01,252.1970000000000000
2018-10-01,252.0520000000000000
2019-01-01,252.8966666666666667
2019-04-01,255.9276666666666667
2019-07-01,256.6293333333333333
2019-10-01,257.1760000000000000
2020-01-01,258.2546666666666667
2020-04-01,256.8600000000000000
2020-07-01,259.7663333333333333
2020-10-01,260.3636666666666667
2021-01-01,263.1576666666666667
2021-04-01,269.3150000000000000
2021-07-01,273.6266666666666667
2021-10-01,277.7796666666666667
2022-01-01,284.1226666666666667
2022-04-01,292.5720000000000000
2022-07-01,296.4183333333333333
